task,model,rollout_length,mean,std,sem,n_seeds
hopper-medium-replay-v2,ensemble,78,0.4560967604317809,0.011080223171860222,0.006397169830954629,3
hopper-medium-replay-v2,ensemble,79,0.46543587182801716,0.023771410614046258,0.013724430317036735,3
hopper-medium-replay-v2,ensemble,80,0.47263961132633076,0.030603836142615394,0.017669133035174197,3
hopper-medium-replay-v2,ensemble,81,0.46188163437838,0.0369263934821835,0.021319463217140688,3
hopper-medium-replay-v2,ensemble,82,0.45268729254048473,0.030775871090927602,0.017768457458892273,3
hopper-medium-replay-v2,ensemble,83,0.4839948877923826,0.024970781367708684,0.0144168873445219,3
hopper-medium-replay-v2,ensemble,84,0.493351776867998,0.026182395257695137,0.01511641295005947,3
hopper-medium-replay-v2,ensemble,85,0.5199838222732694,0.027469739150642547,0.015859661293192277,3
hopper-medium-replay-v2,ensemble,86,0.5475765100008548,0.04265414657551874,0.0246263830074295,3
hopper-medium-replay-v2,ensemble,87,0.5577785321722583,0.05465093443331964,0.03155273170654169,3
hopper-medium-replay-v2,ensemble,88,0.5483187983297695,0.03858924087360239,0.02227950860619765,3
hopper-medium-replay-v2,ensemble,89,0.5335308847014446,0.02047340360943545,0.011820325085135414,3
hopper-medium-replay-v2,ensemble,90,0.5386110135249383,0.023829803124254468,0.013758143248524103,3
hopper-medium-replay-v2,ensemble,91,0.5375905274816981,0.022387286833270747,0.012925306079614231,3
hopper-medium-replay-v2,ensemble,92,0.5316721892988373,0.020163121334166725,0.011641183529984245,3
hopper-medium-replay-v2,ensemble,93,0.5618615144404536,0.029961185683178022,0.017298098619423195,3
hopper-medium-replay-v2,ensemble,94,0.6083318649657689,0.03523992286753202,0.02034577895379126,3
hopper-medium-replay-v2,ensemble,95,0.5806823146604747,0.03755131547540387,0.021680262098148984,3
hopper-medium-replay-v2,ensemble,96,0.5625654991182271,0.04381631844412402,0.02529736324861337,3
hopper-medium-replay-v2,ensemble,97,0.6100673496234909,0.031241241498831,0.018037139189168185,3
hopper-medium-replay-v2,ensemble,98,0.656210766857971,0.026860781731671737,0.01550807956342446,3
hopper-medium-replay-v2,ensemble,99,0.6962527116887843,0.032961407866385815,0.0190302777045269,3
hopper-medium-replay-v2,ensemble,100,0.7479237355149021,0.04648549433354822,0.02683841266688689,3
hopper-medium-replay-v2,rnn,1,0.0008680241712805898,0.0005568402460768185,0.0003214918659680686,3
hopper-medium-replay-v2,rnn,2,0.0015943018001388731,0.0007794427418084219,0.00045001147680099235,3
hopper-medium-replay-v2,rnn,3,0.0020574856049430947,0.0010099795460750398,0.0005831119628024403,3
hopper-medium-replay-v2,rnn,4,0.002733506888530815,0.0008264479514065155,0.00047714994721576655,3
hopper-medium-replay-v2,rnn,5,0.00424577906054031,0.0013198416364556499,0.0007620109240953457,3
hopper-medium-replay-v2,rnn,6,0.005761246451107715,0.001997403574792838,0.0011532014915869658,3
hopper-medium-replay-v2,rnn,7,0.008750570177410317,0.002404476063438754,0.0013882249024863762,3
hopper-medium-replay-v2,rnn,8,0.014603149653197317,0.004140659182744563,0.0023906106937800695,3
hopper-medium-replay-v2,rnn,9,0.01491036664435552,0.002855717905927183,0.0016487495017166935,3
hopper-medium-replay-v2,rnn,10,0.014288975025084255,0.0014757318443315813,0.0008520141775765414,3
hopper-medium-replay-v2,rnn,11,0.014556629128749552,0.0017249369981618507,0.0009958928402238896,3
hopper-medium-replay-v2,rnn,12,0.012537173729395034,0.0004795977330721539,0.00027689588029194235,3
hopper-medium-replay-v2,rnn,13,0.013696405039357507,0.0022485898405090045,0.0012982239497149315,3
hopper-medium-replay-v2,rnn,14,0.01558573638027431,0.0044377691686487515,0.0025621472241207787,3
hopper-medium-replay-v2,rnn,15,0.02318679139006491,0.005671566866283516,0.00327448065697575,3
hopper-medium-replay-v2,rnn,16,0.021962542280072838,0.0003621964571538688,0.00020911422203731493,3
hopper-medium-replay-v2,rnn,17,0.019383330516500024,0.0037715124610809463,0.0021774837346571125,3
hopper-medium-replay-v2,rnn,18,0.014604490945361051,0.001129382376286319,0.0006520492189669255,3
hopper-medium-replay-v2,rnn,19,0.02004580998845978,0.0009348675392164736,0.0005397460254232741,3
hopper-medium-replay-v2,rnn,20,0.018303856717167243,0.0007843354981456177,0.0004528363109893516,3
hopper-medium-replay-v2,rnn,21,0.01816718767657059,0.003097859616895491,0.0017885500837262827,3
hopper-medium-replay-v2,rnn,22,0.02146395803995918,0.0039996675902244875,0.00230920915988513,3
hopper-medium-replay-v2,rnn,23,0.02432684135168933,0.001717946542304448,0.00099185689865286,3
hopper-medium-replay-v2,rnn,24,0.023193696820776682,0.0035098923736216524,0.0020264373067370757,3
hopper-medium-replay-v2,rnn,25,0.026320588760689507,0.004400572727975098,0.0025406718490849486,3
hopper-medium-replay-v2,rnn,26,0.024080439836707258,0.004821908069959391,0.0027839299221986834,3
hopper-medium-replay-v2,rnn,27,0.030446909499941232,0.004689967500810353,0.002707753999083454,3
hopper-medium-replay-v2,rnn,28,0.027804621480970335,0.006513226226531581,0.003760412915180939,3
hopper-medium-replay-v2,rnn,29,0.0353910976793628,0.005851553210417272,0.003378395821211831,3
hopper-medium-replay-v2,rnn,30,0.0370840291455587,0.011136287902045478,0.00642953881801913,3
hopper-medium-replay-v2,rnn,31,0.036939251021715226,0.015777286123356625,0.009109020390401694,3
hopper-medium-replay-v2,rnn,32,0.03545823574043479,0.011460497145612432,0.006616721112066275,3
hopper-medium-replay-v2,rnn,33,0.03976038546259684,0.009585200449580208,0.005534018059801656,3
hopper-medium-replay-v2,rnn,34,0.045875961292805495,0.00933427474155505,0.005389146034726733,3
hopper-medium-replay-v2,rnn,35,0.04675542095765455,0.009075383119464032,0.0052396748870215445,3
hopper-medium-replay-v2,rnn,36,0.04795340587174327,0.006253943948021218,0.003610716221886881,3
hopper-medium-replay-v2,rnn,37,0.044023988680890684,0.0026353536108128044,0.001521522116612625,3
hopper-medium-replay-v2,rnn,38,0.049896111822864846,0.0011829129424124243,0.0006829551057297054,3
hopper-medium-replay-v2,rnn,39,0.05178994455078111,0.003875345959070441,0.002237432032672248,3
hopper-medium-replay-v2,rnn,40,0.05273685292945917,0.010084696244417189,0.005822402091409872,3
hopper-medium-replay-v2,rnn,41,0.06277474028742656,0.0058800805497740425,0.0033948660882687264,3
hopper-medium-replay-v2,rnn,42,0.06790046593035137,0.014292064514697948,0.008251527294836358,3
hopper-medium-replay-v2,rnn,43,0.064076998285712,0.013963348177560113,0.008061742829102802,3
hopper-medium-replay-v2,rnn,44,0.06686728695585727,0.015655295933320993,0.00903858932134613,3
hopper-medium-replay-v2,rnn,45,0.060702587335902496,0.007897184323297241,0.0045594414948957555,3
hopper-medium-replay-v2,rnn,46,0.059135180933101474,0.00795829467229218,0.004594723571338255,3
hopper-medium-replay-v2,rnn,47,0.055863312059098384,0.00902298209497378,0.005209421141426285,3
hopper-medium-replay-v2,rnn,48,0.060467301168229015,0.012553617876372906,0.0072478346602275956,3
hopper-medium-replay-v2,rnn,49,0.06340572774114415,0.010491730266877443,0.0060574032938466365,3
hopper-medium-replay-v2,rnn,50,0.06910460729795755,0.009448743028459262,0.005455234330984555,3
hopper-medium-replay-v2,rnn,51,0.07516779083945614,0.005577646790318511,0.0032202558758350442,3
hopper-medium-replay-v2,rnn,52,0.085269906960808,0.012530504261771715,0.007234490008615653,3
hopper-medium-replay-v2,rnn,53,0.09647082770170008,0.02131888108586967,0.012308461733748477,3
hopper-medium-replay-v2,rnn,54,0.08944681929936449,0.009136728381632526,0.005275092590648033,3
hopper-medium-replay-v2,rnn,55,0.10463120216891796,0.013650888686621593,0.007881344257898593,3
hopper-medium-replay-v2,rnn,56,0.11031400577708451,0.011954729974999747,0.006902066569155392,3
hopper-medium-replay-v2,rnn,57,0.11570880122513977,0.0044773277995772045,0.002584986410336094,3
hopper-medium-replay-v2,rnn,58,0.11157124850305085,0.011437112030904584,0.006603219709794669,3
hopper-medium-replay-v2,rnn,59,0.10404987402434746,0.022741956980881693,0.013130074984810934,3
hopper-medium-replay-v2,rnn,60,0.10021106071159608,0.01821485955166784,0.010516354065406654,3
hopper-medium-replay-v2,rnn,61,0.10958857024731387,0.018260337408725714,0.010542610718421185,3
hopper-medium-replay-v2,rnn,62,0.11967308810446513,0.01448143868461777,0.00836086252281713,3
hopper-medium-replay-v2,rnn,63,0.1251352643875915,0.015090482900330394,0.008712494364707198,3
hopper-medium-replay-v2,rnn,64,0.1349114128771617,0.00639886313303107,0.0036943853523630607,3
hopper-medium-replay-v2,rnn,65,0.1447605166076451,0.021199102967048255,0.012239307804603906,3
hopper-medium-replay-v2,rnn,66,0.14667345794822953,0.028051945245237565,0.016195798138630552,3
hopper-medium-replay-v2,rnn,67,0.13878788208471426,0.016803865545091185,0.009701716295884674,3
hopper-medium-replay-v2,rnn,68,0.14262831157926492,0.018528331445645665,0.010697337147778133,3
hopper-medium-replay-v2,rnn,69,0.15215916134585358,0.026089265236610048,0.015062644307316358,3
hopper-medium-replay-v2,rnn,70,0.15390028258902805,0.027872069171274154,0.016091946638907003,3
hopper-medium-replay-v2,rnn,71,0.1574252795244799,0.026019898084842744,0.015022595163570587,3
hopper-medium-replay-v2,rnn,72,0.1676849570245232,0.025252228781644688,0.014579381084720577,3
hopper-medium-replay-v2,rnn,73,0.15648707958679378,0.027790147622174684,0.016044649210481994,3
hopper-medium-replay-v2,rnn,74,0.1684225896137408,0.03528362960374379,0.020371013049708526,3
hopper-medium-replay-v2,rnn,75,0.18366626793625293,0.05435013502849779,0.03137906508919571,3
hopper-medium-replay-v2,rnn,76,0.20697989695546645,0.04584406663765578,0.026468084213997708,3
hopper-medium-replay-v2,rnn,77,0.22175403273981767,0.03639218110964971,0.021011035560053876,3
hopper-medium-replay-v2,rnn,78,0.20508187890642246,0.018900616955351987,0.010912276287022475,3
hopper-medium-replay-v2,rnn,79,0.18626893302957445,0.010866542405552508,0.006273801183006225,3
hopper-medium-replay-v2,rnn,80,0.1828056708570973,0.02170402693748804,0.01253082579485761,3
hopper-medium-replay-v2,rnn,81,0.1842974717681339,0.026093929775013253,0.015065337379819093,3
hopper-medium-replay-v2,rnn,82,0.19331422520677352,0.025174928758090596,0.014534751895313258,3
hopper-medium-replay-v2,rnn,83,0.2049981830855163,0.027939952116769116,0.016131138875761904,3
hopper-medium-replay-v2,rnn,84,0.1837294410227879,0.014774127467987787,0.008529846470684594,3
hopper-medium-replay-v2,rnn,85,0.2013086759553239,0.019176420315748125,0.011071511431390589,3
hopper-medium-replay-v2,rnn,86,0.20892007886046346,0.03136160028959112,0.01810662836941288,3
hopper-medium-replay-v2,rnn,87,0.2113670319774236,0.02463966437017211,0.0142257168568609,3
hopper-medium-replay-v2,rnn,88,0.2145556046133373,0.03371738130956645,0.01946673917544745,3
