task,seed,model,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows
hopper-medium-replay-v2,2,adm,1,4,0.0037198233627973153,0.02878127206026286,0.0009101437366739759,1000
hopper-medium-replay-v2,2,adm,2,2,0.00242868876631612,0.012129669387771411,0.000383573825301778,1000
hopper-medium-replay-v2,2,adm,3,2,0.009673326003132256,0.09246992556419537,0.002924155798490879,1000
hopper-medium-replay-v2,2,adm,4,1,0.009791081026617686,0.06079944011967478,0.0019226471124119265,1000
hopper-medium-replay-v2,2,adm,5,4,0.010360161570614543,0.07198822433384844,0.0022764675360611862,1000
hopper-medium-replay-v2,2,adm,6,2,0.019302062506609537,0.1636789051958321,0.005175981453415979,1000
hopper-medium-replay-v2,2,adm,7,2,0.011745548336492238,0.10237470208407165,0.00323737233366853,1000
hopper-medium-replay-v2,2,adm,8,1,0.021616009574289267,0.16422960074960766,0.005193395975888564,1000
hopper-medium-replay-v2,2,adm,9,1,0.022056826889497356,0.12666661275501276,0.004005549998043759,1000
hopper-medium-replay-v2,2,adm,10,5,0.01906802864020762,0.19894950149509708,0.006291335640795811,1000
hopper-medium-replay-v2,2,adm,11,4,0.02118705804140673,0.17581801495070526,0.005559853809337653,1000
hopper-medium-replay-v2,2,adm,12,4,0.01821692501751789,0.11584119056206475,0.003663220090417255,1000
hopper-medium-replay-v2,2,adm,13,4,0.023922422388217623,0.15181142409222326,0.004800698749651853,1000
hopper-medium-replay-v2,2,adm,14,5,0.023965230852122626,0.12492611083571055,0.0039505104946748635,1000
hopper-medium-replay-v2,2,adm,15,4,0.01686721679516849,0.15034945647081505,0.004754467274161166,1000
hopper-medium-replay-v2,2,adm,16,1,0.01890868653329751,0.14508117361986297,0.0045878695424910266,1000
hopper-medium-replay-v2,2,adm,17,5,0.018257956053353005,0.13633429858995885,0.004311269067457523,1000
hopper-medium-replay-v2,2,adm,18,2,0.019828948020864694,0.1019770192776619,0.003224796499123104,1000
hopper-medium-replay-v2,2,adm,19,2,0.019124202772654985,0.08132246702482243,0.002571642207423757,1000
hopper-medium-replay-v2,2,adm,20,4,0.033853157461292194,0.22661670430348013,0.0071662494143987865,1000
hopper-medium-replay-v2,2,adm,21,2,0.021979349802696568,0.09842150398428968,0.003112361233296924,1000
hopper-medium-replay-v2,2,adm,22,1,0.026545550012813734,0.0979553191360126,0.0030976191739847682,1000
hopper-medium-replay-v2,2,adm,23,5,0.035484667345880516,0.19385246119793723,0.006130153074148945,1000
hopper-medium-replay-v2,2,adm,24,3,0.026512084940116618,0.11090737875978422,0.0035071992619989866,1000
hopper-medium-replay-v2,2,adm,25,2,0.031233299745451595,0.14042176125998948,0.0044405259863396235,1000
hopper-medium-replay-v2,2,adm,26,4,0.03825461222404837,0.20477074077625854,0.006475419390128926,1000
hopper-medium-replay-v2,2,adm,27,5,0.052754853575068754,0.3707758343989919,0.011724961380502228,1000
hopper-medium-replay-v2,2,adm,28,5,0.03716847974172641,0.20653223504188284,0.00653112272977591,1000
hopper-medium-replay-v2,2,adm,29,3,0.04007038123793269,0.20361530856271695,0.006438881415361712,1000
hopper-medium-replay-v2,2,adm,30,1,0.04460135345595414,0.23653299532994368,0.007479830070245925,1000
hopper-medium-replay-v2,2,adm,31,3,0.04130210816581972,0.20367653597903693,0.006440817596269896,1000
hopper-medium-replay-v2,2,adm,32,4,0.0377725630747814,0.1715219462761478,0.0054240001893766316,1000
hopper-medium-replay-v2,2,adm,33,1,0.04731872565943469,0.23874653400222492,0.0075498283091786625,1000
hopper-medium-replay-v2,2,adm,34,3,0.06545615284944725,0.3440788095135341,0.0108807273266198,1000
hopper-medium-replay-v2,2,adm,35,1,0.06148484295519686,0.2613206907566804,0.0082636858251962,1000
hopper-medium-replay-v2,2,adm,36,2,0.05866425545586953,0.232025478959671,0.007337289887040359,1000
