task,seed,model,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows
hopper-medium-replay-v2,1,adm,1,1,0.0013716783577116668,0.005875901973266963,0.00018581233543401416,1000
hopper-medium-replay-v2,1,adm,2,1,0.0027258107262844544,0.01151781275937399,0.0003642252198297069,1000
hopper-medium-replay-v2,1,adm,3,1,0.0038306225981669037,0.022357935413249926,0.0007070199968480773,1000
hopper-medium-replay-v2,1,adm,4,4,0.0030293908457816807,0.02452137307996511,0.0007754339028742795,1000
hopper-medium-replay-v2,1,adm,5,3,0.007174908598832256,0.06332941230336685,0.002002651857585295,1000
hopper-medium-replay-v2,1,adm,6,1,0.012732786170327113,0.1071756336626328,0.0033891911204573387,1000
hopper-medium-replay-v2,1,adm,7,5,0.012517335073881959,0.14721307870454636,0.0046552863007199635,1000
hopper-medium-replay-v2,1,adm,8,1,0.024562436898611765,0.35332869602370587,0.011173234421321891,1000
hopper-medium-replay-v2,1,adm,9,4,0.019870555003170715,0.18303279206555242,0.005788005094271406,1000
hopper-medium-replay-v2,1,adm,10,3,0.013076229799194141,0.09510218450571402,0.0030073951349563082,1000
hopper-medium-replay-v2,1,adm,11,3,0.015066227148508226,0.10973791212184208,0.0034702174797642204,1000
hopper-medium-replay-v2,1,adm,12,1,0.013985172695047485,0.07649555428470518,0.0024190018241672076,1000
hopper-medium-replay-v2,1,adm,13,5,0.013176174785629104,0.08978800065104954,0.0028393458860999786,1000
hopper-medium-replay-v2,1,adm,14,3,0.016176301836227012,0.0899988642656108,0.0028460139790766727,1000
hopper-medium-replay-v2,1,adm,15,4,0.017100200836158614,0.10416752287024228,0.003294066304876459,1000
hopper-medium-replay-v2,1,adm,16,1,0.01616178356714241,0.08039904526891417,0.002542441047527535,1000
hopper-medium-replay-v2,1,adm,17,4,0.011719059315462852,0.05480705460153572,0.0017331512438606498,1000
hopper-medium-replay-v2,1,adm,18,3,0.01461520448860533,0.08398069438494646,0.0026557027373894423,1000
hopper-medium-replay-v2,1,adm,19,2,0.020728712210595135,0.16463288494242834,0.005206148941825123,1000
hopper-medium-replay-v2,1,adm,20,5,0.018768438399409795,0.10804653767839198,0.0034167315235892003,1000
hopper-medium-replay-v2,1,adm,21,3,0.019710131144101823,0.12532174324683007,0.003963021490028082,1000
hopper-medium-replay-v2,1,adm,22,1,0.021616403680590028,0.1032040617126519,0.0032635989879255785,1000
hopper-medium-replay-v2,1,adm,23,2,0.0292080533021056,0.16598994243861237,0.005249062867862591,1000
hopper-medium-replay-v2,1,adm,24,4,0.02675391661787325,0.16879430660018677,0.005337744649253826,1000
hopper-medium-replay-v2,1,adm,25,1,0.03494208523754147,0.21567938229222208,0.006820380923816095,1000
