task,seed,model,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows
walker2d-medium-replay-v2,1,adm,1,1,0.2361282723906789,0.5881468994410503,0.018598838009997315,1000
walker2d-medium-replay-v2,1,adm,2,1,0.41961776500987036,1.2283424602847626,0.038843599211947695,1000
walker2d-medium-replay-v2,1,adm,3,1,0.6034554512097727,1.6298170272033763,0.05153933975287277,1000
walker2d-medium-replay-v2,1,adm,4,4,0.36331550310425803,1.045616918597399,0.03306531022774654,1000
walker2d-medium-replay-v2,1,adm,5,3,0.586655612565235,1.5047904888705612,0.0475856534618923,1000
walker2d-medium-replay-v2,1,adm,6,1,0.7979780206590608,1.8953103265702675,0.05993497504799593,1000
walker2d-medium-replay-v2,1,adm,7,5,0.7641918556952866,1.720407473908502,0.0544040612112757,1000
walker2d-medium-replay-v2,1,adm,8,1,0.983189865206678,2.2413328741131435,0.0708771687680898,1000
walker2d-medium-replay-v2,1,adm,9,4,0.8961484368980311,1.9450228308190165,0.061507022464164375,1000
walker2d-medium-replay-v2,1,adm,10,3,0.9335874441499604,2.2188412662887615,0.0701659216784467,1000
walker2d-medium-replay-v2,1,adm,11,3,1.1693642127415296,2.9040336965989493,0.09183360883131055,1000
walker2d-medium-replay-v2,1,adm,12,1,1.3024862875731755,3.0149806505499637,0.09534205957074078,1000
walker2d-medium-replay-v2,1,adm,13,5,1.2356249999547986,3.1308714068288754,0.09900684706674899,1000
walker2d-medium-replay-v2,1,adm,14,3,1.287052353833005,2.8868225574477435,0.09128934482287147,1000
walker2d-medium-replay-v2,1,adm,15,4,1.2619265462149591,2.624964129835026,0.08300865426520633,1000
walker2d-medium-replay-v2,1,adm,16,1,1.4221255088188416,2.9278674181094293,0.0925872972822232,1000
walker2d-medium-replay-v2,1,adm,17,4,1.5231503156772432,3.2022248456345075,0.1012632409218614,1000
walker2d-medium-replay-v2,1,adm,18,3,1.483542325730918,3.2776975541929283,0.10364989752412833,1000
walker2d-medium-replay-v2,1,adm,19,2,1.6000838835921636,3.2165016564348057,0.10171471332038375,1000
walker2d-medium-replay-v2,1,adm,20,5,1.4998967486473738,3.2699352425234336,0.10340443167629126,1000
walker2d-medium-replay-v2,1,adm,21,3,1.7060990946777366,3.3491041653232223,0.10590797283578493,1000
walker2d-medium-replay-v2,1,adm,22,1,1.979077712302171,4.006580319138945,0.1266991943688338,1000
walker2d-medium-replay-v2,1,adm,23,2,1.876779809673621,3.732747618119009,0.11803984403824472,1000
walker2d-medium-replay-v2,1,adm,24,4,1.8983374472424945,3.5791442846333865,0.11318248013815493,1000
walker2d-medium-replay-v2,1,adm,25,1,2.059755872844755,3.6584142783663576,0.11568921744118955,1000
walker2d-medium-replay-v2,1,adm,26,5,2.009785107871622,3.6323582874485902,0.11486525466126149,1000
walker2d-medium-replay-v2,1,adm,27,3,2.0738639657172335,3.8989888502496712,0.1232968533839013,1000
walker2d-medium-replay-v2,1,adm,28,1,2.1831310794032284,3.834274803110512,0.12125041552822884,1000
walker2d-medium-replay-v2,1,adm,29,3,2.2044142081597093,3.8476028489739127,0.12167188534510415,1000
walker2d-medium-replay-v2,1,adm,30,2,2.2778971441111877,3.868056350646696,0.12231868185922473,1000
walker2d-medium-replay-v2,1,adm,31,4,2.253570718022738,3.872920729008185,0.12247250700945618,1000
walker2d-medium-replay-v2,1,adm,32,2,2.505542078716513,4.400938019617501,0.13916987983222093,1000
walker2d-medium-replay-v2,1,adm,33,1,2.5053785245846916,3.9895088602447863,0.126159347437959,1000
walker2d-medium-replay-v2,1,adm,34,1,2.604121480259025,3.959786440992655,0.12521944201388727,1000
walker2d-medium-replay-v2,1,adm,35,4,2.7407828749143732,4.5060690326474315,0.14249441437117513,1000
walker2d-medium-replay-v2,1,adm,36,2,3.106580456763937,5.072488555840831,0.16040617241595226,1000
walker2d-medium-replay-v2,1,adm,37,2,2.8791956783765955,4.778125290610007,0.1510975886398157,1000
walker2d-medium-replay-v2,1,adm,38,3,2.880125726681207,4.702183422878113,0.1486960959218154,1000
