task,seed,model,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows
hopper-medium-replay-v2,0,adm,88,3,0.24677767996220548,1.094145459437384,0.03459991743353508,1000
hopper-medium-replay-v2,0,adm,89,1,0.2504820004270893,1.0788782928132377,0.03411712723403901,1000
hopper-medium-replay-v2,0,adm,90,3,0.2392364219549227,0.9424591369123663,0.02980317474279548,1000
hopper-medium-replay-v2,0,adm,91,3,0.25221710436521155,0.9257495010858595,0.029274769661958366,1000
hopper-medium-replay-v2,0,adm,92,4,0.2480790356818665,0.804376582391186,0.025436620968582374,1000
hopper-medium-replay-v2,0,adm,93,4,0.2522405685532591,0.8596978548714752,0.027186033209547437,1000
hopper-medium-replay-v2,0,adm,94,5,0.27663860474309027,0.9844558447001489,0.031131227251174724,1000
hopper-medium-replay-v2,0,adm,95,5,0.27195187252495556,0.9773940217533545,0.0309079128017276,1000
hopper-medium-replay-v2,0,adm,96,2,0.26262669941592504,0.9505478175506776,0.030058961283623165,1000
hopper-medium-replay-v2,0,adm,97,1,0.31603501013104746,1.1537794370616405,0.036485709385816745,1000
hopper-medium-replay-v2,0,adm,98,5,0.31709891702647924,1.2028668088228442,0.03803798837698509,1000
hopper-medium-replay-v2,0,adm,99,5,0.32953303290945973,1.2633794964684353,0.03995156757996909,1000
hopper-medium-replay-v2,0,adm,100,3,0.3351714520025669,1.18928487840206,0.03760849002546902,1000
hopper-medium-replay-v2,0,rnn,1,5,0.0006291902385028248,0.003145334723882386,9.946421731085148e-05,1000
hopper-medium-replay-v2,0,rnn,2,2,0.0012043603095382828,0.004564058043367359,0.00014432818790252404,1000
hopper-medium-replay-v2,0,rnn,3,2,0.0017197128678203791,0.005009426611776297,0.00015841197864673162,1000
hopper-medium-replay-v2,0,rnn,4,5,0.002021879198283473,0.007517907843173721,0.000237737120236729,1000
hopper-medium-replay-v2,0,rnn,5,3,0.003855599858248383,0.020485329621952004,0.0006478030022468437,1000
hopper-medium-replay-v2,0,rnn,6,4,0.005448130300228288,0.03309882068276465,0.0010466766122302577,1000
hopper-medium-replay-v2,0,rnn,7,1,0.009033811717025234,0.06152732419491097,0.0019456648279150438,1000
hopper-medium-replay-v2,0,rnn,8,2,0.010925944361935861,0.08788703676616819,0.002779232129840507,1000
hopper-medium-replay-v2,0,rnn,9,2,0.011971878777666378,0.09629179009170666,0.0030450137666462687,1000
hopper-medium-replay-v2,0,rnn,10,1,0.012594880094271595,0.07702744431171323,0.0024358216636679465,1000
hopper-medium-replay-v2,0,rnn,11,2,0.016414829679299824,0.1297314376871426,0.004102468272195772,1000
hopper-medium-replay-v2,0,rnn,12,3,0.012522236928397212,0.07172372832360194,0.0022681034378171246,1000
hopper-medium-replay-v2,0,rnn,13,5,0.01263629865584019,0.07060729580080399,0.002232798741557831,1000
hopper-medium-replay-v2,0,rnn,14,2,0.01533550829405648,0.09055997919605364,0.0028637579911699363,1000
hopper-medium-replay-v2,0,rnn,15,1,0.027230495516584803,0.24735695944610994,0.007822113869436093,1000
hopper-medium-replay-v2,0,rnn,16,4,0.021956826445729525,0.17001900965837818,0.005376473160466412,1000
hopper-medium-replay-v2,0,rnn,17,3,0.02348502690669254,0.18611847057580694,0.0058855828164658015,1000
hopper-medium-replay-v2,0,rnn,18,5,0.01577629211192401,0.07416424350131377,0.0023452793040749246,1000
hopper-medium-replay-v2,0,rnn,19,5,0.020118543563530104,0.11989666530517372,0.003791465462232361,1000
hopper-medium-replay-v2,0,rnn,20,2,0.019101921258676404,0.0745867203530148,0.0023586391951756487,1000
hopper-medium-replay-v2,0,rnn,21,3,0.020753351489979893,0.12934117855779478,0.004090127194931638,1000
hopper-medium-replay-v2,0,rnn,22,2,0.025859875257841416,0.14556114071777349,0.004603047434804409,1000
hopper-medium-replay-v2,0,rnn,23,1,0.025827522241472764,0.1082893290649986,0.0034244092613686743,1000
hopper-medium-replay-v2,0,rnn,24,1,0.026060883867476455,0.10164837296569611,0.0032144037902188424,1000
hopper-medium-replay-v2,0,rnn,25,5,0.027433353618070908,0.12129078408091613,0.0038355513688338757,1000
hopper-medium-replay-v2,0,rnn,26,2,0.026919794770277308,0.12116908392488279,0.0038317028719872435,1000
hopper-medium-replay-v2,0,rnn,27,3,0.03307390604587452,0.14740640329766486,0.004661399761139761,1000
hopper-medium-replay-v2,0,rnn,28,5,0.035282762787124826,0.15772578188504358,0.0049877271648766375,1000
hopper-medium-replay-v2,0,rnn,29,1,0.04176446912229906,0.17518337765050362,0.005539784815770282,1000
hopper-medium-replay-v2,0,rnn,30,5,0.0494213881000869,0.28074835324999375,0.008878042456115159,1000
hopper-medium-replay-v2,0,rnn,31,5,0.05452650410905532,0.2932974152690524,0.009274878640904526,1000
hopper-medium-replay-v2,0,rnn,32,5,0.04806639112913066,0.22405410862439615,0.007085213023718674,1000
hopper-medium-replay-v2,0,rnn,33,3,0.050673489495216786,0.24030667597584449,0.007599164330277344,1000
hopper-medium-replay-v2,0,rnn,34,4,0.05661063518369254,0.3098113738187393,0.00979709586293074,1000
hopper-medium-replay-v2,0,rnn,35,1,0.057227127380139665,0.2965505381645302,0.009377751419486043,1000
hopper-medium-replay-v2,0,rnn,36,2,0.05339530757301017,0.2756546729302778,0.008716966141284388,1000
hopper-medium-replay-v2,0,rnn,37,2,0.0470450213187394,0.1918843648694976,0.006067916403624104,1000
hopper-medium-replay-v2,0,rnn,38,2,0.050047507637597057,0.21149495921579023,0.006688057847663159,1000
hopper-medium-replay-v2,0,rnn,39,3,0.04777763627586293,0.19983538641790483,0.0063193497818045605,1000
hopper-medium-replay-v2,0,rnn,40,2,0.054318501024162046,0.19711118747459724,0.006233203047201801,1000
hopper-medium-replay-v2,0,rnn,41,4,0.06737009854190157,0.39419700671703967,0.012465603880465392,1000
hopper-medium-replay-v2,0,rnn,42,3,0.08383354009787507,0.42255980290039596,0.013362514247970757,1000
hopper-medium-replay-v2,0,rnn,43,5,0.07730245881513986,0.327463120266814,0.010355293097487773,1000
hopper-medium-replay-v2,0,rnn,44,4,0.08092131152772518,0.3591221776871342,0.011356440397710438,1000
hopper-medium-replay-v2,0,rnn,45,2,0.067566766944449,0.26294086506970116,0.008314920235552642,1000
hopper-medium-replay-v2,0,rnn,46,1,0.06808696661276582,0.25330769213343174,0.008010292559823608,1000
hopper-medium-replay-v2,0,rnn,47,4,0.066119359243252,0.2803661335289641,0.00886595560726428,1000
hopper-medium-replay-v2,0,rnn,48,4,0.0748778082492174,0.3901113082223927,0.012336402749707334,1000
hopper-medium-replay-v2,0,rnn,49,2,0.07010059332642962,0.3875939163751422,0.012256795829702832,1000
hopper-medium-replay-v2,0,rnn,50,2,0.06871699903462557,0.2838300554959048,0.008975494437790511,1000
hopper-medium-replay-v2,0,rnn,51,1,0.07784554228853385,0.3300802027541896,0.010438052512334229,1000
hopper-medium-replay-v2,0,rnn,52,2,0.09971990854456328,0.49259719313443023,0.015577290993106573,1000
hopper-medium-replay-v2,0,rnn,53,3,0.12093281913823198,0.612292879258153,0.019362400935582322,1000
hopper-medium-replay-v2,0,rnn,54,2,0.09792770679508542,0.4543819429594501,0.014368818674045719,1000
hopper-medium-replay-v2,0,rnn,55,1,0.11262191185172239,0.45651950959371296,0.014436414466192227,1000
hopper-medium-replay-v2,0,rnn,56,1,0.11969037074789746,0.4849794667562563,0.015336397333636825,1000
hopper-medium-replay-v2,0,rnn,57,5,0.11980928270460033,0.4299517219494566,0.013596267252716933,1000
hopper-medium-replay-v2,0,rnn,58,1,0.11390341305246979,0.43869639226958235,0.013872798008705644,1000
hopper-medium-replay-v2,0,rnn,59,3,0.11584496874816455,0.5020214961489488,0.01587531362196127,1000
hopper-medium-replay-v2,0,rnn,60,2,0.11658241303727862,0.5021497506136582,0.015879369384246944,1000
hopper-medium-replay-v2,0,rnn,61,4,0.13064981036142062,0.5897224488531635,0.018648661257081485,1000
hopper-medium-replay-v2,0,rnn,62,1,0.12978441824460207,0.5389930673897001,0.017044457359920783,1000
