task,seed,model,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows
walker2d-medium-replay-v2,0,adm,1,5,0.4300341484762392,0.9516872720519165,0.030094993998763624,1000
walker2d-medium-replay-v2,0,adm,2,2,0.22235016784442777,0.48939068676419334,0.015475892358488697,1000
walker2d-medium-replay-v2,0,adm,3,2,0.7632102633184101,2.344031973683603,0.07412479945100052,1000
walker2d-medium-replay-v2,0,adm,4,5,0.48698529835618615,1.332854909597212,0.042148573048650086,1000
walker2d-medium-replay-v2,0,adm,5,3,0.46797154364716526,1.2500525033998355,0.03953013105538857,1000
walker2d-medium-replay-v2,0,adm,6,4,0.4697949225517724,1.103177326560175,0.03488553014985518,1000
walker2d-medium-replay-v2,0,adm,7,1,0.6714017097247829,1.4624426667873538,0.04624649774458718,1000
walker2d-medium-replay-v2,0,adm,8,2,0.7121240274860661,1.6542444043770166,0.05231180124419987,1000
walker2d-medium-replay-v2,0,adm,9,2,0.8232035245618932,1.8633412011253805,0.05892402253590106,1000
walker2d-medium-replay-v2,0,adm,10,1,0.8948798936979936,1.8334516832823973,0.05797883299042036,1000
walker2d-medium-replay-v2,0,adm,11,2,1.0381612897628796,2.677810012709821,0.08467978781367472,1000
walker2d-medium-replay-v2,0,adm,12,3,0.9793416783790588,2.2036548864443017,0.06968568618123702,1000
walker2d-medium-replay-v2,0,adm,13,5,0.9362831302800312,2.180597218563117,0.0689565387008745,1000
walker2d-medium-replay-v2,0,adm,14,2,1.1348547769547326,2.51121630485046,0.07941163220679197,1000
walker2d-medium-replay-v2,0,adm,15,1,1.345372814716166,2.7996663857731323,0.08853322467654724,1000
walker2d-medium-replay-v2,0,adm,16,4,1.2009521396632468,2.6511388410096206,0.08383637130929412,1000
walker2d-medium-replay-v2,0,adm,17,3,1.431350187898322,3.0888678359870267,0.0976785775295442,1000
walker2d-medium-replay-v2,0,adm,18,5,1.231028794946681,2.647122468367132,0.0837093624544716,1000
walker2d-medium-replay-v2,0,adm,19,5,1.4680839073377643,2.922138503833393,0.09240613310590191,1000
walker2d-medium-replay-v2,0,adm,20,2,1.476734627288586,3.4023455016750317,0.1075916117212133,1000
walker2d-medium-replay-v2,0,adm,21,3,1.4760937540281571,3.4408497334667745,0.10880922244138304,1000
walker2d-medium-replay-v2,0,adm,22,2,1.7920119481324153,4.467020793230353,0.1412596006193998,1000
walker2d-medium-replay-v2,0,adm,23,1,1.9009534245694413,4.004251698936194,0.12662555693237207,1000
walker2d-medium-replay-v2,0,adm,24,1,2.0449921991091786,4.367827660129023,0.13812283833091532,1000
walker2d-medium-replay-v2,0,adm,25,5,1.7403239864202447,3.221726832772105,0.10187994790440255,1000
walker2d-medium-replay-v2,0,adm,26,2,2.084796811641767,4.064048480305437,0.12851649719111136,1000
walker2d-medium-replay-v2,0,adm,27,3,2.0670839604785067,3.7727019610074217,0.11930331129767206,1000
walker2d-medium-replay-v2,0,adm,28,5,1.9797481062699316,3.6737400630630868,0.11617386130689973,1000
walker2d-medium-replay-v2,0,adm,29,1,2.0939949142687952,3.6190539323095976,0.11444453401087167,1000
walker2d-medium-replay-v2,0,adm,30,5,2.006777297828526,3.4943372848439838,0.11050064732955561,1000
walker2d-medium-replay-v2,0,adm,31,5,2.2678993408644095,4.098873471737466,0.12961776011532197,1000
walker2d-medium-replay-v2,0,adm,32,5,2.289817990434151,4.202625246484698,0.1328986793101819,1000
walker2d-medium-replay-v2,0,adm,33,3,2.2497627390882546,3.97971556302016,0.12584965618763075,1000
walker2d-medium-replay-v2,0,adm,34,4,2.4169370574166504,4.1532698702899005,0.13133792527468174,1000
walker2d-medium-replay-v2,0,adm,35,1,2.6693703588662503,4.533115878630805,0.1433497107394875,1000
walker2d-medium-replay-v2,0,adm,36,2,2.676403493596931,4.520807608462043,0.14296048906158756,1000
walker2d-medium-replay-v2,0,adm,37,2,2.711171015589651,4.408544137679064,0.13941040640448776,1000
walker2d-medium-replay-v2,0,adm,38,2,2.8027014481774066,4.764460411746863,0.15066546722823743,1000
walker2d-medium-replay-v2,0,adm,39,3,2.7393224126476516,4.440781420833659,0.14042983880793075,1000
walker2d-medium-replay-v2,0,adm,40,2,2.814845933803671,4.462247753923282,0.1411086638636812,1000
walker2d-medium-replay-v2,0,adm,41,4,2.738017342796949,4.383834724498074,0.13862902615150663,1000
walker2d-medium-replay-v2,0,adm,42,3,2.8780839325481704,4.753936537067551,0.15033267309026943,1000
walker2d-medium-replay-v2,0,adm,43,5,2.917134232054455,4.682820251243862,0.14808377867092543,1000
walker2d-medium-replay-v2,0,adm,44,4,3.113769806688597,5.006877209408774,0.15833135946519564,1000
walker2d-medium-replay-v2,0,adm,45,2,3.229331383216936,5.3974767893047355,0.17068320272095716,1000
walker2d-medium-replay-v2,0,adm,46,1,3.326259079219414,5.384864903489432,0.17028437987329387,1000
walker2d-medium-replay-v2,0,adm,47,4,3.216181380732942,5.171762748528094,0.16354549803361407,1000
walker2d-medium-replay-v2,0,adm,48,4,3.2917715699922323,5.3823345547403685,0.1702043632200779,1000
walker2d-medium-replay-v2,0,adm,49,2,3.4927119714541295,5.63295490115684,0.17812967444664254,1000
