task,seed,model,repeat,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows,n_samples,rollout_repeats,repeat_mean_std,repeat_mean_sem
hopper-medium-replay-v2,0,adm,-1,1,,0.0030667865894107985,0.024683146329914453,3.902748111087779e-05,20000,400000,20,0.0011901336498111633,0.0002661219743287691
hopper-medium-replay-v2,0,adm,-1,2,,0.003757824175850567,0.030807986488371023,4.871170371347248e-05,20000,400000,20,0.0015512444233653259,0.00034686879803623314
hopper-medium-replay-v2,0,adm,-1,3,,0.0050581393150375825,0.04155690856730559,6.570724179402519e-05,20000,400000,20,0.0016906063313211616,0.00037803106800256487
hopper-medium-replay-v2,0,adm,-1,4,,0.005949483678894577,0.05370403493896252,8.491353497419163e-05,20000,400000,20,0.002349929063929235,0.0005254601129248218
hopper-medium-replay-v2,0,adm,-1,5,,0.00793228596730489,0.07517636318572009,0.00011886426693745359,20000,400000,20,0.0023808246943322186,0.0005323685859036999
hopper-medium-replay-v2,0,adm,-1,6,,0.010332540339318599,0.09428633378472537,0.00014907978349330806,20000,400000,20,0.002368662140795368,0.000529648956254862
hopper-medium-replay-v2,0,adm,-1,7,,0.012362909759374712,0.11485217260844083,0.00018159722983073753,20000,400000,20,0.0027365628924172053,0.0006119140652148314
hopper-medium-replay-v2,0,adm,-1,8,,0.014456132709264321,0.13379903855080602,0.0002115548552806108,20000,400000,20,0.0034519905041189114,0.0007718885424893654
hopper-medium-replay-v2,0,adm,-1,9,,0.015378436945024478,0.13397685381863333,0.0002118360059051544,20000,400000,20,0.003364501473114151,0.0007523254004281422
hopper-medium-replay-v2,0,adm,-1,10,,0.015832355312584756,0.1406918046676615,0.00022245327543465965,20000,400000,20,0.0030787043984580854,0.0006884192317579877
hopper-medium-replay-v2,0,adm,-1,11,,0.018187929629047073,0.15718219773328132,0.0002485268762340622,20000,400000,20,0.0036559870835308926,0.0008175035643636277
hopper-medium-replay-v2,0,adm,-1,12,,0.01840233684830187,0.1546028936833452,0.0002444486384461148,20000,400000,20,0.004460846153736169,0.000997475523692255
hopper-medium-replay-v2,0,adm,-1,13,,0.02005716214978171,0.16202958515445845,0.000256191268710147,20000,400000,20,0.0035370576439750015,0.0007909101332263353
hopper-medium-replay-v2,0,adm,-1,14,,0.019899148958482236,0.15824683207079634,0.00025021021092494814,20000,400000,20,0.0035127111548229457,0.0007854660927505894
hopper-medium-replay-v2,0,adm,-1,15,,0.01994431094312732,0.1583872884864567,0.0002504322920176832,20000,400000,20,0.003047800642942247,0.0006815089419486428
hopper-medium-replay-v2,0,adm,-1,16,,0.021583991050053413,0.1631121158144503,0.00025790289997141674,20000,400000,20,0.003204040485442073,0.00071644523281099
hopper-medium-replay-v2,0,adm,-1,17,,0.022388935805896598,0.16786540146013723,0.0002654185044762942,20000,400000,20,0.002287539692137694,0.0005115094252848824
hopper-medium-replay-v2,0,adm,-1,18,,0.022617134695337385,0.16579013525821645,0.0002621372205016759,20000,400000,20,0.002178083080380618,0.00048703418283732
hopper-medium-replay-v2,0,adm,-1,19,,0.023758905564559438,0.16360767479676386,0.00025868644752094976,20000,400000,20,0.002257965068497414,0.0005048963383980187
hopper-medium-replay-v2,0,adm,-1,20,,0.025102035498531114,0.1698736610931052,0.0002685938417628705,20000,400000,20,0.002936317928880023,0.0006565806492527124
hopper-medium-replay-v2,0,adm,-1,21,,0.024436084946778455,0.159628371777909,0.0002523946170011671,20000,400000,20,0.002415688277606338,0.0005401643201177155
hopper-medium-replay-v2,0,adm,-1,22,,0.026255653309066755,0.16808786989605368,0.00026577025795878977,20000,400000,20,0.002555732519133439,0.0005714791645089151
hopper-medium-replay-v2,0,adm,-1,23,,0.02772500862421616,0.17645995079813998,0.0002790076801616847,20000,400000,20,0.002619629369330398,0.0005857669345677672
hopper-medium-replay-v2,0,adm,-1,24,,0.029883352673375548,0.1874076825685539,0.00029631756396523247,20000,400000,20,0.003436253882825907,0.0007683697269946324
hopper-medium-replay-v2,0,adm,-1,25,,0.03153246216778463,0.19168961385462868,0.00030308789178939765,20000,400000,20,0.003924411258651494,0.000877525034601025
hopper-medium-replay-v2,0,adm,-1,26,,0.032955548138884024,0.20003684424848037,0.0003162860218887755,20000,400000,20,0.004484375775371864,0.0010027369070384814
hopper-medium-replay-v2,0,adm,-1,27,,0.03578611270770323,0.21281745626760962,0.00033649394382446145,20000,400000,20,0.004944386617576034,0.0011055984583940267
hopper-medium-replay-v2,0,adm,-1,28,,0.0380717344818119,0.22365908451150923,0.00035363606322222856,20000,400000,20,0.005322104323909218,0.001190058705160657
hopper-medium-replay-v2,0,adm,-1,29,,0.03923190467463859,0.23512638184814474,0.000371767452317304,20000,400000,20,0.0051904390961217284,0.001160617465200075
hopper-medium-replay-v2,0,adm,-1,30,,0.040950214937909325,0.24307841773510394,0.00038434072503639816,20000,400000,20,0.0065085738185193705,0.0014553613494784692
hopper-medium-replay-v2,0,adm,-1,31,,0.04324387934828641,0.24854983221633484,0.00039299179092815726,20000,400000,20,0.005117688148329201,0.001144349858730912
hopper-medium-replay-v2,0,adm,-1,32,,0.04590140481501183,0.26339590439823424,0.0004164654921291911,20000,400000,20,0.00699108097633728,0.0015632532299295757
hopper-medium-replay-v2,0,adm,-1,33,,0.044401433593935134,0.24721413291202676,0.0003908798648927993,20000,400000,20,0.006526592616161457,0.001459390475118521
hopper-medium-replay-v2,0,adm,-1,34,,0.04676069370245085,0.26178977020500105,0.00041392597098994415,20000,400000,20,0.005631201057012253,0.0012591748358448066
hopper-medium-replay-v2,0,adm,-1,35,,0.048048367811921455,0.26065158620047535,0.0004121263440646079,20000,400000,20,0.0051874530563809085,0.001159949766415676
hopper-medium-replay-v2,0,adm,-1,36,,0.050972524144986646,0.2812474924744249,0.00044469133121512405,20000,400000,20,0.0050286887521023985,0.0011244489887389552
hopper-medium-replay-v2,0,adm,-1,37,,0.05191456618640882,0.2855977360815953,0.00045156967030274666,20000,400000,20,0.004011414138960847,0.000896979470062024
