task,seed,model,repeat,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows,n_samples,rollout_repeats,repeat_mean_std,repeat_mean_sem
hopper-medium-replay-v2,2,adm,-1,1,,0.003117758266811002,0.0201417105899895,3.184684071815033e-05,20000,400000,20,0.0009193655186114593,0.0002055763795784571
hopper-medium-replay-v2,2,adm,-1,2,,0.0041519069057113665,0.02939319786466936,4.647472648417641e-05,20000,400000,20,0.0014440852273951657,0.00032290727337588323
hopper-medium-replay-v2,2,adm,-1,3,,0.005227334544293855,0.040430280221475816,6.392588596936022e-05,20000,400000,20,0.0020588061179686893,0.00046036304322704405
hopper-medium-replay-v2,2,adm,-1,4,,0.007346453500579879,0.05575426626175537,8.815523532931429e-05,20000,400000,20,0.0022866672042815618,0.000511314331069297
hopper-medium-replay-v2,2,adm,-1,5,,0.009030378088243484,0.07442794986209426,0.00011768092157051644,20000,400000,20,0.002197687712697691,0.0004914179118908064
hopper-medium-replay-v2,2,adm,-1,6,,0.011496529650777205,0.0953326769271946,0.0001507341972654585,20000,400000,20,0.002496144320501853,0.0005581548382292164
hopper-medium-replay-v2,2,adm,-1,7,,0.013412997576747816,0.10899728031881686,0.00017233983228565256,20000,400000,20,0.0031162566803861667,0.0006968161772681304
hopper-medium-replay-v2,2,adm,-1,8,,0.014336130549408212,0.12019654038297496,0.00019004741724130408,20000,400000,20,0.002810870047479494,0.000628529650208221
hopper-medium-replay-v2,2,adm,-1,9,,0.01555683309340966,0.12071782388364996,0.00019087163882570353,20000,400000,20,0.0030868177176523555,0.0006902334250821419
hopper-medium-replay-v2,2,adm,-1,10,,0.016916242038477972,0.1400259997631438,0.0002214005454468662,20000,400000,20,0.0036192501240340973,0.0008092889304914787
hopper-medium-replay-v2,2,adm,-1,11,,0.018788019974617688,0.14702235577674122,0.0002324627556090581,20000,400000,20,0.00413880557733031,0.0009254650616565836
