task,model,rollout_length,mean,std,sem,n_seeds,rollout_repeats
hopper-medium-replay-v2,adm,83,0.22163111931189097,0.026408827584308153,0.015247143714782727,3,20
hopper-medium-replay-v2,adm,84,0.22843999496012304,0.029024353897386133,0.016757218535710848,3,20
hopper-medium-replay-v2,adm,85,0.23328053187464484,0.029746830130069582,0.017174340383133743,3,20
hopper-medium-replay-v2,adm,86,0.23927621079941183,0.029794831590146703,0.017202054039030766,3,20
hopper-medium-replay-v2,adm,87,0.24654471416391396,0.03128943004773263,0.0180649608608484,3,20
hopper-medium-replay-v2,adm,88,0.25165303368784087,0.03274579885368807,0.01890579578300615,3,20
hopper-medium-replay-v2,adm,89,0.25768516472248176,0.03168876384244892,0.018295516334724364,3,20
hopper-medium-replay-v2,adm,90,0.2630872396580766,0.03463611823301679,0.019997172185515947,3,20
hopper-medium-replay-v2,adm,91,0.2685927358757817,0.033815303870475294,0.019523274792347906,3,20
hopper-medium-replay-v2,adm,92,0.27279148513779494,0.03373901519743946,0.019479229506434548,3,20
hopper-medium-replay-v2,adm,93,0.28057689879359227,0.03510824082045632,0.020269752288464664,3,20
hopper-medium-replay-v2,adm,94,0.2909250021180382,0.03632666961539051,0.02097321248120831,3,20
hopper-medium-replay-v2,adm,95,0.2984217922842323,0.03709326550566834,0.021415806824819878,3,20
hopper-medium-replay-v2,adm,96,0.30267002423030775,0.03656247099106239,0.021109352468927756,3,20
hopper-medium-replay-v2,adm,97,0.30591847378867093,0.037516731809745796,0.02166029520947173,3,20
hopper-medium-replay-v2,adm,98,0.31341680989507187,0.03798076626673876,0.021928205628129884,3,20
hopper-medium-replay-v2,adm,99,0.3208336754864069,0.03911384905916096,0.022582391283348973,3,20
hopper-medium-replay-v2,adm,100,0.3276869190318967,0.03993335708759656,0.023055534464169324,3,20
hopper-medium-replay-v2,ensemble,1,0.005107888165209019,0.00016387555841141914,9.461359776243308e-05,3,20
hopper-medium-replay-v2,ensemble,2,0.007829499633387915,0.00039611368157727755,0.0002286963406883349,3,20
hopper-medium-replay-v2,ensemble,3,0.010700333389211718,0.0004788229503036758,0.00027644855925199806,3,20
hopper-medium-replay-v2,ensemble,4,0.01429034903866677,0.00036151738423945937,0.00020872215910738124,3,20
hopper-medium-replay-v2,ensemble,5,0.019486461731123787,0.0004474173415633761,0.00025831652259172193,3,20
hopper-medium-replay-v2,ensemble,6,0.02558217198249788,0.0005527324542695375,0.00031912023126236,3,20
hopper-medium-replay-v2,ensemble,7,0.030327052248262706,0.0006299162393269015,0.00036368231034230333,3,20
hopper-medium-replay-v2,ensemble,8,0.03483152098802219,0.0005402793067342491,0.0003119304031806031,3,20
hopper-medium-replay-v2,ensemble,9,0.03942586292134762,0.0004726239478580285,0.00027286956352129643,3,20
hopper-medium-replay-v2,ensemble,10,0.04327532363846365,0.0003008455135598706,0.00017369323823828253,3,20
hopper-medium-replay-v2,ensemble,11,0.04559258889653115,0.0003994537690378001,0.0002306247410827845,3,20
hopper-medium-replay-v2,ensemble,12,0.047884149526148556,0.0004959487557794209,0.00028633614765350866,3,20
hopper-medium-replay-v2,ensemble,13,0.05000893086374059,0.0007502277147957014,0.000433144173090816,3,20
hopper-medium-replay-v2,ensemble,14,0.05247406640513186,0.0009473590754805308,0.0005469580172479195,3,20
hopper-medium-replay-v2,ensemble,15,0.05490464597937746,0.000978201559188949,0.0005647649335194513,3,20
hopper-medium-replay-v2,ensemble,16,0.058554688572148406,0.0008526461611576894,0.0004922754906678931,3,20
hopper-medium-replay-v2,ensemble,17,0.062331440621684976,0.0009763658850084936,0.000563705106537221,3,20
hopper-medium-replay-v2,ensemble,18,0.06678206240946193,0.000677780836614965,0.00039131694847121986,3,20
hopper-medium-replay-v2,ensemble,19,0.0704528614835802,0.0008481600687671698,0.000489685444018617,3,20
hopper-medium-replay-v2,ensemble,20,0.07440479698824398,0.0010632493288927325,0.0006138672862519081,3,20
hopper-medium-replay-v2,ensemble,21,0.07829393563622025,0.0010722865854967186,0.0006190849487849552,3,20
hopper-medium-replay-v2,ensemble,22,0.08160362741248438,0.0011670645990900798,0.0006738050604463403,3,20
hopper-medium-replay-v2,ensemble,23,0.08480355846942937,0.0013669258526967526,0.0007891950090167289,3,20
hopper-medium-replay-v2,ensemble,24,0.08712536773715797,0.001551831151383844,0.0008959501329883093,3,20
hopper-medium-replay-v2,ensemble,25,0.08999292929748942,0.0013943203073002147,0.0008050112047563407,3,20
hopper-medium-replay-v2,ensemble,26,0.0942593145256501,0.001473812885439967,0.000850906266143904,3,20
hopper-medium-replay-v2,ensemble,27,0.0983628218490968,0.0017117954711557942,0.00098830557606938,3,20
hopper-medium-replay-v2,ensemble,28,0.10256133620207654,0.0015379481979663017,0.0008879348060955442,3,20
