task,seed,model,repeat,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows,n_samples,rollout_repeats,repeat_mean_std,repeat_mean_sem
walker2d-medium-replay-v2,1,adm,0,1,1,0.25874952594446665,0.6788876846510286,0.004800460854807767,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,2,1,0.4262130420145682,1.1882436720865177,0.00840215158234381,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,3,1,0.5646408260949867,1.46215091554332,0.010338968274988005,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,4,4,0.33006447182079074,0.8120283525567552,0.0057419075460862215,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,5,3,0.5738127956452053,1.4347577065405424,0.01014526903654476,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,6,1,0.7623698073580174,1.764902981611578,0.012479748664339034,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,7,5,0.7109714754790695,1.7264740629344366,0.012208015174436303,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,8,1,0.8837094143245451,2.036056116998905,0.014397090872062764,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,9,4,0.8626063043689762,2.0626379064533675,0.014585052507855998,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,10,3,0.9042872639333602,2.1733503476992833,0.01536790768752304,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,11,3,0.9905515850588199,2.299154706121623,0.016257478836955636,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,12,1,1.1588560967212649,2.5345379321014994,0.017921889589634993,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,13,5,1.1048541066757664,2.5004668044797076,0.017680970335794584,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,14,3,1.2027692230383096,2.7047825863278687,0.019125701084277243,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,15,4,1.2250555378475223,2.689079244564365,0.01901466168979461,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,16,1,1.3820179540541404,2.896064205804204,0.020478266386757857,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,17,4,1.3073287923179413,2.766051545402595,0.019558938048657045,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,18,3,1.4139457793272787,2.961355498912799,0.020939945547853115,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,19,2,1.5204530332773996,3.1412395058905758,0.02221191755946306,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,20,5,1.4893567657630353,3.098246472393916,0.021907910904170373,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,21,3,1.5975408309352201,3.255403957830296,0.023019182140833278,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,22,1,1.7485462260343583,3.3984252369009513,0.024030495303681617,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,23,2,1.7605753882609472,3.406139159209403,0.02408504097142014,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,24,4,1.757398776557469,3.3616255220100664,0.023770282024230854,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,25,1,1.9221998786132783,3.6000907566682483,0.025456485869271274,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,26,5,1.8688171364980484,3.53156850515831,0.024971960382222796,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,27,3,1.951236842451489,3.6090526038144595,0.025519855698161707,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,28,1,2.094662991732877,3.858731171124711,0.02728534977878191,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,29,3,2.0814110769098524,3.809749580116589,0.02693899762723042,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,30,2,2.2878943282125164,4.103710920329086,0.029017618197939847,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,31,4,2.227875780134414,3.945691948479027,0.027900255332426814,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,32,2,2.460750090694953,4.295736458525933,0.030375443800139717,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,33,1,2.599609059104528,4.433270510049536,0.03134795640490371,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,34,1,2.7206834798870245,4.5811805274226,0.03239383816780284,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,35,4,2.5023346589265807,4.226085566271445,0.029882937617851296,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,36,2,2.882062486550168,4.772427890878802,0.03374616124364214,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,37,2,2.8438258706730672,4.7542682986506035,0.03361775353556072,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,38,3,2.857471646943996,4.7213730840751,0.03338514924261146,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,39,1,3.0085907874658786,4.824948419683513,0.03411753746433528,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,40,5,2.9104550136997376,4.765178932276862,0.03369490336580241,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,41,2,3.1957512611042334,5.097633487865762,0.036045712072735124,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,42,3,3.178627316294026,5.064710980742708,0.03581291479233138,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,43,4,3.234151393162015,5.098228405514504,0.03604991877577186,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,44,1,3.382186571066552,5.235873179804005,0.03702321430872183,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,45,5,3.2207956267796005,5.020836921322501,0.035502678342989286,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,46,1,3.408937808312031,5.252877017779232,0.03714344960010663,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,47,1,3.5974209408415248,5.462027642650028,0.03862236785146207,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,48,5,3.474297114960441,5.192443643507696,0.03671612111253276,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,49,1,3.6867749344121963,5.439825079984687,0.03846537202525825,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,50,5,3.5793905580366374,5.2935482124317,0.03743103837548382,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,51,1,3.788381973129029,5.5590454201190465,0.03930838713490198,20000,20000,20,,
walker2d-medium-replay-v2,1,adm,0,52,5,3.710399184857113,5.408621926226683,0.03824473240909134,20000,20000,20,,
