task,seed,model,repeat,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows,n_samples,rollout_repeats,repeat_mean_std,repeat_mean_sem
hopper-medium-replay-v2,1,adm,0,1,1,0.0021539444879216337,0.015114977127515129,0.0001068790282434551,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,2,1,0.0034977132395524906,0.02052639662311772,0.0001451435424553119,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,3,1,0.005328302110212821,0.03227317297879381,0.00022820579463711554,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,4,4,0.003329475199085904,0.027694087715471,0.00019582677222384606,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,5,3,0.008464375930883923,0.07215947642811324,0.000510244551091897,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,6,1,0.011515258401352495,0.09408459154796346,0.000665278526887315,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,7,5,0.011978175195217176,0.11255772810478493,0.0007959033281784506,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,8,1,0.015151905870396387,0.14501036986897575,0.0010253781587672216,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,9,4,0.014810601800442339,0.13922140444485562,0.0009844439916927236,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,10,3,0.014569943104387664,0.1517859555392103,0.001073288784506554,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,11,3,0.01664774081373551,0.15621775211388989,0.0011046263186145066,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,12,1,0.01694522441325449,0.14496572600933974,0.0010250624790083518,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,13,5,0.014606685635387069,0.11801408492143352,0.0008344855972347073,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,14,3,0.016757909068154272,0.12817053111678472,0.0009063025170095988,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,15,4,0.017442177008324334,0.14042104899368862,0.0009929267596476565,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,16,1,0.021540369585836446,0.1835242067536611,0.0012977121110739575,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,17,4,0.02122738637198701,0.18072946267043272,0.0012779502861446398,20000,20000,20,,
hopper-medium-replay-v2,1,adm,0,18,3,0.022542191497310078,0.1770428887233505,0.0012518822717713647,20000,20000,20,,
